タイムスタンプ,総合点,仕事点,天気,通勤/外出,行きの座席,行きの駅,行き遅延,帰りの座席,帰りの駅,帰り遅延,不快なこと,日記,睡眠データ
2026-04-02,90,90,雨,通勤あり,いいえ,,5分,はい,品川,5分,帰りは混んでたし人がぶつかってくるタイミングが多くてうざかった,"昼過ぎからとにかく眠かった
眠すぎて日記書く前に寝落ち
泰雅と一緒に泰雅の動画見るのが日課になりそう
仕事は割と順調だが極秘フォルダのけんはよくわからん
ルール決めたの俺じゃないから使われなくても気にしないが全責任を負う気はない
行きは小雨だった
泰雅保育園初日うまくいったみたいでそれだけで親としては嬉しい","睡眠時間: 6時間58分
覚醒: 32分
レム: 1時間9分
コア: 4時間46分
深い: 31分"
2026-04-03,90,60,行き: 晴れ / 帰り: 晴れ,外出あり,移動なし,,なし,移動なし,,なし,,"午前休で歯医者に行った
自分が全く問題なくてかなり褒められる状態であること、妻が20年来のトラウマを克服できて歯医者に行き、かつ問題点がわかりまだ間に合う状態で治療開始できることがラッキーだった

仕事はクソだった
来週おぢに説教しないと

夜公園行ったら新しい滑り台で泰雅が大喜びしてくれてよかった
サッカーボールも遅れて届き、左足のキック力が判明したのもよかった
トレシューは少しキツイけど値段考えたからこれで慣れていこうと思えた
総じて仕事以外はいい日でした","睡眠時間: 6時間38分
覚醒: 28分
レム: 1時間8分
コア: 4時間50分
深い: 12分"
2026-04-04,90,85,午前: 雨(Lv3) / 午後: 雨(Lv4),外出なし,移動なし,,なし,移動なし,,なし,,"しっかり寝られた
妻が保護者会の間泰雅面倒見てた
散歩一緒に行った
雨の切れ目にサッカーできた
pcの中の整理が自動化できた
プリンター届いたの開封できた
久々に映画みた（爆弾）のはよかったがイマイチ
沙紀にカッターの件で因縁つけられたように感じて久々に軽い夫婦喧嘩になったが解決した
泰雅は大人用サッカーボールでドリブル上手にやってるし言葉も増えてきた
力も強いから痛いし危ないことも増えたけど強い男になってもらうには避けられないので許容します","睡眠時間: 6時間35分
覚醒: 18分
レム: 1時間22分
コア: 4時間23分
深い: 32分"
2026-04-05,100,90,午前: 晴れ / 午後: 不明,外出なし,移動なし,,なし,移動なし,,なし,,"沙紀がバイクで朝市行って喜んでた
バイク自発的に乗れていい感じ
泰雅は明け方覚醒して大変だった
9時過ぎに起きて、2台分のバッテリー交換できたのがよかった

その後4人で散歩行って、歩きながら基礎の基礎のリフティングを機能みた動画を参考にやり始めたのがよかった

夜睡眠妨害された分昼寝もできた

先ともコミュニケーションとれたし、
Googleカレンダーのアプリ連携と4アカウント分の設定も完了したし、
プリンターの設定を沙紀の分も完了できた

総じてやりたいことできたいい1日だった","睡眠時間: 7時間49分
覚醒: 40分
レム: 1時間31分
コア: 5時間2分
深い: 36分"
2026-04-06,90,95,行き: 晴れ / 帰り: くもり,通勤あり,はい,,8分,いいえ,,2分,,"午前3時にに泰雅が激しい夜泣き
それに加え朝湘南新宿ラインが大遅延してた時点でいい1日になると確信した
先週金曜にムカついたパソコン交換の件も朝会で話し合って解決
あとはひたすら真面目に仕事した
帰りの通勤も特に問題なし
泰雅も保育園で頑固に過ごしてる
悪くない1日でした","睡眠時間: 6時間45分
覚醒: 37分
レム: 1時間17分
コア: 4時間40分
深い: 11分"
2026-04-07,90,90,午前: 不明 / 午後: 晴れ,外出なし,移動なし,,なし,移動なし,,なし,,"よく寝られた
仕事は特に問題起きず
終業後にサッカーと滑り台の散歩もできた
ドラマ九条の大罪が面白すぎる
アプリ修正もできた
土地購入の件もかなり話進んだ
泰雅も元気に過ごしてる
追加で買ったトレジャーはさっぱり小さくて返品になりそうだけど送料高そうでガッカリ
いい1日でした","睡眠時間: 8時間51分
覚醒: 30分
レム: 2時間15分
コア: 5時間7分
深い: 1時間29分"
2026-04-08,60,75,行き: 晴れ / 帰り: 晴れ,通勤あり,いいえ,,7分,いいえ,,なし,"朝は東海道線の人身事故の影響で大混雑
ずっと人と接触している一番嫌いな状況
帰りも棚にカバン置けないしクソハゲが体触れる位置まで平気で寄ってくるし不愉快でした","よく寝られた
ただ睡眠時間多い日特有の体調不良の前触れ？を感じる
仕事はクレームとかはないが一日中忙しくて目の前の業務に忙殺された日でした
ネットワーク機器の件とかは多少進んだしやるべきこと見えたけどひたすら疲れた

客観的に見ようとすればそこまで悪くない日だけど当人としては疲れてうんざりな日でした","睡眠時間: 8時間32分
覚醒: 16分
レム: 1時間53分
コア: 5時間6分
深い: 1時間33分"
2026-04-09,75,75,行き: 晴れ / 帰り: くもり,通勤あり,はい,横浜,9分,いいえ,,なし,行きは湘南新宿ラインが保土ヶ谷到着時点で6分遅れてた,"風邪気味
比較的よく寝られたのはやっぱり体調不良によるもの
息子が保育園でもらってきたみたいで家庭内感染
クリニック中抜けで受診しました
仕事は悪くなかった
やりたいことあるけどならなきゃいけないことで押しつぶされているからなんとか道筋を見つけたい

泰雅が保育園で昼寝あまりできないので、なんとかして一日11時間睡眠を試写する方法を模索しないといけない","睡眠時間: 7時間11分
覚醒: 26分
レム: 1時間36分
コア: 4時間4分
深い: 1時間31分"
2026-04-10,40,60,行き: 雨(Lv1) / 帰り: 雨(Lv3),通勤あり,いいえ,,なし,いいえ,,なし,,"とにかく疲れた
体調不良に仕事は休みメンバーがやっている業務の代理対応と不具合相談と急ぎ対応が山のように降ってきて、自分がやりたいことは全くできない

全社会もイマイチ参加意義を感じられず

疲労がピークで満身創痍で帰宅
晩飯は美味かったし泰雅は保育園でお昼寝できて夜も22時前に寝たから頑張ったのはいいところ","睡眠時間: 7時間39分
覚醒: 38分
レム: 1時間27分
コア: 2時間56分
深い: 45分"
2026-04-11,95,100,午前: 晴れ / 午後: 晴れ,外出なし,移動なし,,なし,移動なし,,なし,,"寝るのは苦労した
ベビースイミングの送迎は、帰り泰雅が眠くて暴れたのでかなり頭にきた
家帰って泰雅寝かせてから、親とLINEの予定を見てなかった件で一悶着あった
そこからは好転した
土地購入の件不動産屋さんがいい人で信頼できそう
昼寝もできた
夜3人で散歩も行けた
サッカーの劇的な上達を感じた
泰雅昼寝4時間してくれたし、これから平日の保育園による睡眠不足はなんとか土日で取り戻していくしかない","睡眠時間: 8時間30分
覚醒: 2時間41分
レム: 1時間6分
コア: 1時間57分
深い: 57分"
2026-04-12,85,85,午前: 晴れ / 午後: 晴れ,外出なし,移動なし,,なし,移動なし,,なし,,"寝るのは苦労した
NBOX車検出してきた
割とオススメ断ったけど12万
ディーラーも大変だなと思った
散歩も行って軽ーく運動もした
昼寝もできた
サミットも買い出し行けた
ただかなり疲れてる
平日どこか半日休みにしようかなってくらい","睡眠時間: 7時間41分
覚醒: 43分
レム: 1時間17分
コア: 3時間38分
深い: 48分"
2026-04-13,50,40,行き: 晴れ / 帰り: 晴れ,外出あり,移動なし,,なし,移動なし,,なし,,"明け方に泰雅が夜泣き大爆発
仕事行けないくらい大変だった
睡眠もメチャクチャ
散歩行ってもあまり歩かず
車検終わったNBOX回収してキャップスクリニックも行ってきた
泰雅は最近外で座り込みで抗議すること増えて店の中だと疲れる
大変な1日でした
保育園落ち着くまではこれが続くらしい","睡眠時間: 6時間24分
覚醒: --分
レム: --分
コア: --分
深い: --分"
2026-04-14,60,75,行き: 晴れ / 帰り: 晴れ,通勤あり,いいえ,,なし,いいえ,,5分,"帰りのババアのトートバッグがクソ邪魔だった
老若男女問わずにトートバッグ使ってるやつ処刑してほしい","ひたすら疲れた
健康診断はなんとか行けた
仕事が昨日の分の対応もあって忙しすぎ
とにかく忙しいのに時間過ぎるの待つ日だった

oppo find n6 は318000円というふざけた値段で見送り
将来の車は昨日一昨日の現行NBOXなった経験を踏まえ5代目ステップワゴンを150万で探すのが良さそうという結論になった","睡眠時間: 6時間27分
覚醒: 18分
レム: 58分
コア: 1時間54分
深い: 36分"
2026-04-15,85,100,行き: くもり / 帰り: 雨(Lv3),通勤あり,いいえ,,15分,いいえ,,なし,"朝の湘南新宿ラインが15分遅れ
慌てて乗った横須賀線が武蔵小杉駅から地獄の混雑
久々に禍福の日になると確信した朝","夜はよく寝られた
仕事は順調だった
止まってたことも動いたし、Googleドライブ全社展開方針も決まり、現状のドライブも全てリスト化でき、指紋認証設定pjtもかなり進められた
昼休みは散歩もできて白金台まで初めて歩けた

泰雅にパソコン買い与えられたし、製品自体もかなりいいみたい

久々に禍福は糾える縄の如しを地でいく日でした","睡眠時間: 8時間5分
覚醒: 18分
レム: 1時間14分
コア: 2時間58分
深い: 1時間5分"
2026-04-16,70,70,行き: 晴れ / 帰り: 晴れ,通勤あり,いいえ,,5分,はい,西大井,なし,,"よく寝られた
行きは快調だったので嫌な予感
5分遅れたのでこれでなんとかならないかと思ったがダメだった
昼休みは急ぎのパソコン交換対応
昼休みずらして取得するはずが最近の交換対応でラクローアプリ入れてない疑惑に気づき冷や汗かきながら対応
その後も執行役員のパソコン修理対応で嫌な汗かきながらバタバタした
休憩取れなかったしひどい頭痛がした
夜もバタバタして逃げるように退勤

ラクローアプリの件大きな問題にならなかったのと、リンクルが頭痛に効いてくれたのはラッキー

帰りの電車で不自然に空いてる席に座ろうとしたら外国人のお姉ちゃんが濡れてるって教えてくれたのもよかった","睡眠時間: 8時間16分
覚醒: 30分
レム: 2時間
コア: 5時間40分
深い: 36分"
2026-04-17,50,40,午前: 不明 / 午後: くもり,外出なし,移動なし,,なし,移動なし,,なし,,"夜泰雅暴れてそんな寝られなかった
仕事もあまりにもトラブル多くて大変だった
インカメラトラブルは昨日修理エンジニアの人に聞いたのがそのまま使えてタイミングの良さに笑ったけど
拡張機能設定がうまくいかず冷や汗かきながら修正対応したり、初めて夜に仕事の続きやってしまった
夜散歩も軽く行ったつもりが泰雅が転んで割と大きな怪我しちゃったし、やることなすことダメだった

不動産屋さんの対応が素晴らしいので明日来てもらって話進められたら禍福理論成立かな
疲れました1週間","睡眠時間: 6時間54分
覚醒: 18分
レム: 1時間35分
コア: 3時間10分
深い: 56分"
2026-04-18,90,95,午前: 晴れ / 午後: 不明,外出なし,移動なし,,なし,移動なし,,なし,,"昨日の日記書いた後に仕事でやり残したタスクを完遂させて寝ることができた

その結果朝まで目が覚めないほど珍しく爆睡して、泰雅がお漏らしして6時半に着替えさせたら起きちゃったスタートで、プール送迎時点では疲れていた

ただ、不動産屋さんから有益なアドバイスもらえたり、片付け進められたり沙紀とコミュニケーション取れたのがよかった

明日は休みつつしっかりと精算とか溜まってるタスク終わらせて月曜迎えたい","睡眠時間: 8時間40分
覚醒: 21分
レム: 1時間7分
コア: 4時間5分
深い: 33分"
2026-04-19,90,85,午前: 晴れ / 午後: 晴れ,外出なし,移動なし,,なし,移動なし,,なし,,"多少苦労したが睡眠時間は確保できた
起きて沙紀が朝市行ってる間に下の階で一緒に過ごして手足の爪切らせてくれた
ただイヤイヤ期がすごく俺抜きの散歩で大暴れしたので途中参戦した
トイレ掃除もしたし金精算も終わった
ヨーグルトはキャロブパウダーは失敗、R1増殖は成功した
泰雅と割と一緒に過ごせたのでいい1日でした","睡眠時間: 8時間52分
覚醒: 11分
レム: 2時間37分
コア: 5時間6分
深い: 1時間9分"
2026-04-20,90,95,行き: 晴れ / 帰り: 晴れ,通勤あり,はい,新川崎,なし,いいえ,,5分,,"最低限寝られた日曜夜にしてはいい数字
仕事は朝からバタバタ
拡張機能展開がやっとできたのが朗報
Macユーザーがintune再ログイン必要なのも検証した上で全社連絡と展開できた
急ぎ案件も大量にあって、気づいたら18時過ぎてて気絶しそうになった
帰りの電車は気付かずに5分遅延してた
泰雅も保育園楽しめたようでよかったし、昼寝2時間したのは本当に偉い
悪くない1日でした","睡眠時間: 6時間29分
覚醒: 22分
レム: 48分
コア: 2時間30分
深い: 40分"
2026-04-21,40,70,午前: 不明 / 午後: 不明,外出なし,移動なし,,なし,移動なし,,なし,,"睡眠は快適ではなかったが時間は確保できた
仕事は横入りばっかりでイライラしたし、やるべきこと妨害されて（許可得られなくて）不愉快だった
それでもやらなきゃいけない極秘フォルダの件とか一歩ずつ進めてる自分は本当に偉いと思う

泰雅は保育園から帰ってずっと眠くて機嫌悪かったみたい
昼寝がそんなできなかったらしい

今日は特別悪いことが起きたわけではなかったけどいい日ではありませんでした
明日に期待して寝ます","睡眠時間: 8時間5分
覚醒: 24分
レム: 1時間23分
コア: 3時間
深い: 57分"
2026-04-22,75,80,行き: 晴れ / 帰り: 晴れ,通勤あり,いいえ,,なし,いいえ,,なし,,"よく寝られてよかった
通勤は特になしの普通

仕事は疲れたけどCAA設定がやっと完成して先進められたの本当に大変だった自分を褒める
毎日やること多くて大変だけど頑張ります
泰雅はよく寝て保育園楽しんだみたいだし、特別よくもなかったけど悪くもなかった1日でした","睡眠時間: 8時間
覚醒: 37分
レム: 1時間43分
コア: 5時間34分
深い: 43分"
2026-04-23,70,75,行き: 晴れ / 帰り: 雨(Lv3),通勤あり,いいえ,,1分,いいえ,,なし,,"夜は何回も覚醒したけどデータ上は寝られた
変な夢多すぎ
仕事は忙しすぎなのと訳わからないトラブル多くて大変だった
将来的に考えれば経験値入ったけど、トラブルシュート中は疲れる
MacだけMSの拡張機能オフにする点
クラウドストライクがアプリ起動部ロタ枠すると暴走し、アプリアンインストールしないと解決しない点
など時間に追われて冷や汗かきながら対応した
AIエキスパートチームの2人と話せたのはよかった
20分残業して雨の中帰った
泰雅は元気に保育園行けてるようでなにより","睡眠時間: 7時間19分
覚醒: 1時間17分
レム: 1時間34分
コア: 4時間31分
深い: 1時間14分"
2026-04-25,45,30,行き: 晴れ / 帰り: 晴れ,通勤あり,いいえ,,なし,はい,その他,なし,行きは座れそうだったけど一瞬迷ったら奪われた,"睡眠時間はそこそこ
眠くて22時台に寝ると中途覚醒が長くなるのは避けられない

仕事はセミナーあったので昼休み返上して会場向かったところまではよかった

東京駅から会場まで歩きづらくて東京駅ごと嫌いになった
あの横断歩道のバカな作りなに？

セミナーは最低最悪のクソだった
受付で待たされる、7割くらい埋まってる会場でヒステリックに前から詰めろと言われて最前列座ったら関係者席だからはじによってくれと席移動させられる

セミナーの内容も聞いたことあるものばかりで時間の無駄、バカなシニアSEは時間無視してわかりづらいパワポでオナニー講釈垂れ流して休憩時間ガン無視
バカらしくなって帰った
帰りはセミナー帰りで東京で座った

仕事終わりに坊主にしたらアタッチメント間違えて22mmを9mmにしてしまった

泰雅と沙紀が機嫌いいのはよかった
今日はダメな日でしたが、明日の不動産屋訪問が良くなると確信できた数々の出来事でした","睡眠時間: 6時間26分
覚醒: 55分
レム: 54分
コア: 2時間1分
深い: 35分"
2026-04-25,90,100,午前: 晴れ / 午後: 晴れ,外出なし,移動なし,,なし,移動なし,,なし,,"不動産屋さん行って土地購入の話進められた。
泰雅連れて散歩も行けた
妻もバイク気に入っている
自分の時間はないし疲れて大変だったけど今のある1日でした","睡眠時間: 7時間12分
覚醒: 37分
レム: 1時間53分
コア: 3時間56分
深い: 1時間23分"
2026-04-26,20,0,午前: 不明 / 午後: 不明,外出なし,移動なし,,なし,移動なし,,なし,,"よく寝た
片付けもできた
ただこのアプリで1ヶ月貯めたダーマ分析しようと思ったら何もかも壊れてて何も分析できなかった
エラーまみれでまともに動かず、毎日手間かけてスクショ撮ってたのも全部無だった","睡眠時間: 9時間51分
覚醒: 15分
レム: 2時間15分
コア: 6時間22分
深い: 1時間14分"
